"Име на фирма","Седалище","Дейности","Адрес на аптека - град","Адрес на аптека","Дата","№/№ промяна","Адрес на управление","Ръководител","пом.-фарм.","latitude","longitude"
"","","","с. Юнаците","общ. Пазарджик","2000-04-07T00:00:00","3322-НА","","Росица Асенова Сердарова","пом.-фарм.","42.2426199","24.2709797"
"","","","гр. Момчилград","ул. Маказа 22","2000-07-13T00:00:00","3328-НА","","Мара Христова Бошнакова","","41.5272762","25.4093944"
"","","","гр. Силистра","ул. Добруджа 7","2000-07-09T00:00:00","3363-НА","","Румяна Йорданова Цончева","","44.1166388","27.2629536"
"","","","гр. Севлиево","ул. Росица 43 Д","2000-09-19T00:00:00","3379-НА","","Тефик Мехмед Мехмед","","43.0231746","25.1030126"
"","","","гр. София","ул. Шести септември 37","2000-09-19T00:00:00","3383-НА","","Виолетка Иванова Гогова","","42.6977082","23.3218675"
"","","","с. Бойница","обл. Видин","2000-02-10T00:00:00","3413-НА","","Община Бойница с ЕООД Здравец   ръководител Димитрина Пешева Владимирова","пом.-фарм.","43.9575807","22.5325125"
"","","","гр. Русе","ул. Плиска, бл. Ахелой 1","2000-10-10T00:00:00","3420-НА","","Венета Койчева Стефанова","","43.83557130000001","25.9656554"
"","","","гр. Кюстендил","ул. Площад 17-ти януари 1","2000-10-10T00:00:00","3457-НА","","РБ Д-р Никола Василев  ръководител Митанка Любенова Балабанова","","42.2798066","22.7005364"
"","","","гр. Русе","ул. Борисова 44","2000-10-10T00:00:00","3481-НА","","Анелия Кръстева Куруиванова","","43.8433564","25.9541975"
"","","","с. Бояджик","общ. Тунджа","2000-10-10T00:00:00","3483-НА","","Дина Пенева Димитрова","пом.-фарм.","42.3972323","26.3023536"
"","","","гр. Мадан","ул. Явор 1","2000-10-13T00:00:00","3493-НА","","Тодорка Христова Вуцова","","41.4985802","24.9399327"
"","","","с. Войника","обл. Ямбол","2000-10-13T00:00:00","3497-НА","","Стефанка Георгиева Цонева","пом.-фарм.","42.3857538","26.8181683"
"","","","гр. Чирпан","ул. Братя Павлови 3","2000-10-13T00:00:00","3506-НА","","Веска Русева Златарова","","42.2020702","25.3248541"
"","","","гр. Горна Оряховица","ул. Мано Тодоров 2","2000-10-20T00:00:00","3517-НА","","Цветана Литова Стоянова","","43.1208016","25.6896757"
"","","","с. Самоводене","общ. Велико Търново, ул. Васил Левски 39","2000-10-26T00:00:00","3535-НА","","Бонка Николова Минева","пом.-фарм.","43.1415949","25.6041675"
"ЕТ ""СИМЕОНОВ- ПЕТЪР СИМЕОНОВ""","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","с. Садовец","общ. Долни Дъбник, ул. ""Св. Св. Кирил и Методий"" № 7","2012-03-13T00:00:00","3540-НА-1","ул. ""Дойран"" № 164, вх. А, ап. 1","Петър Симеонов Нинов","","43.3081492","24.3524097"
"","","","гр. Силистра","ул. Македония 150","2000-10-27T00:00:00","3571-НА","","Надежда Велчева Цанева","","44.12026909999999","27.2686015"
"","","","гр. София","ж.к. Дружба 1, бл. 7","2000-10-30T00:00:00","3587-НА","","Иван Николов Иванов","","42.6347747","23.4033333"
"","","","гр. Първомай","ул. Стефан Стамболов 58","2000-10-30T00:00:00","3589-НА","","Росица Димитрова Стефанова","","42.1021527","25.2306942"
"","","","гр. Алфатар","ул. Дочо Михайлов 3","2000-10-30T00:00:00","3600-НА","","Иванка Петкова Рачкова","","43.9458522","27.2865748"
"","","","гр. София","ул. А. Пандурски 9","2000-10-30T00:00:00","3617-НА","","Мая Александрова Хаджигеоргиева","","42.6977082","23.3218675"
"ЕТ СТОЯН КЕРКЕНЕЗОВ","гр. Пловдив","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пловдив","ул. Звезда 47","2000-10-30T00:00:00","3627-НА","ул. Звезда 47, ет. 1, ап. 3","Стоян Петков Керкенезов","","42.1317135","24.7054187"
"","","","гр. Плиска","ул. Симеон Велики 4","2000-10-11T00:00:00","3650-НА","","Жулиета Илиева Петрова","пом.-фарм.","43.3625303","27.1255402"
"","","","гр. Белене","ул. България 20","2000-10-11T00:00:00","3655-НА","","Стела Иванова Гайдарска","","43.6488944","25.1285796"
"","","","гр. Перник","ул. Търговска 35","2000-11-15T00:00:00","3661-НА","","Диана Иванова Томова","","42.6024127","23.0298597"
"","","","гр. Белене","ул. Христо Ботев 11, МЦ ""Бел Медик""","2000-11-20T00:00:00","3678-НА","","Община Белене с ЕООД Здраве   ръководител Росен Исаев Гайдарски","","43.6445087","25.1246359"
"","","","гр. София","ж.к. Дианабад, бл. 27","2000-11-20T00:00:00","3680-НА","","Тонка Филипова Говедарска","","42.6627871","23.3467536"
"","","","гр. София","бул. Ал. Батенберг 16","2000-11-20T00:00:00","3689-НА","","Нина Гаврилова Касабова","","42.6977082","23.3218675"
"","","","с. Црънча","общ. Пазарджик","2000-11-28T00:00:00","3698-НА","","Теменужка Георгиева Иванова","пом.-фарм.","42.1116176","24.2266691"
"","","","гр. Плевен","пл. Свобода 4","2000-11-28T00:00:00","3699-НА","","Светла Георгиева Тодорова - Митрикова","","43.4170423","24.6066847"
"","","","гр. Пловдив","ул. Барикадите 10","2000-11-28T00:00:00","3700-НА","","Станка Русева Бялкова","","42.1610624","24.7610592"
"ЕТ ДАЯНА-ЯНКА ВАСИЛЕВА","гр. Сливен","","гр. Сливен","кв. Даме Груев, бл. 15 Б","2000-11-28T00:00:00","3706-НА","кв. Даме Груев, бл. 15, вх. Б, ет. 3, ап. 5.","Янка Василева Колева","маг. Фарм.","42.6676253","26.3330864"
"","","","гр. Горна Оряховица","ул. Св. Княз Борис I 14","2000-06-12T00:00:00","3735-НА","","Валентин Стоянов Благоев","","43.1226298","25.6920572"
"","","","гр. Бургас","ул. Вардар 1","2000-08-12T00:00:00","3737-НА","","Хайк Кеворк Манукян","","42.5039631","27.467771"
"","","","гр. Нова Загора","ул. Васил Левски 34","2000-12-13T00:00:00","3747-НА","","Нели Николова Манахилова","","42.4936347","26.0085439"
"","","","гр. София","ул. Пиротска 54","2000-12-13T00:00:00","3749-НА","","Василка Георгиева Караиванова","","42.7007734","23.3137966"
"","","","гр. Силистра","ул. Отец Паисий 1, бл. Кристал","2000-12-13T00:00:00","3752-НА","","Мария Лазарова Славова","","44.1147271","27.2671901"
"""АМАРАНТ 72"" ЕООД","гр. Сандански 2800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Сандански","ул. ""Петър Берон"" № 2","2012-01-11T00:00:00","3755-НА-1","ул. ""Петър Берон"" № 2","Георги Крумов Янков","","41.5616256","23.2806322"
"","","","гр. Русе","ул. Цар Освободител 42 А","2000-12-15T00:00:00","3757-НА","","Евгения Тодорова Динолова","","43.8479208","25.959091"
"","","","гр. Севлиево","ул. Стара планина 19","2000-12-15T00:00:00","3764-НА","","Милчо Неделчев Баев","","43.0204871","25.0949605"
